suit_INclass834, 0.0015399508402571542
suit_INclass906, 0.00025515835186124165
plane_INclass404, 8.642974765157679e-10
eagle_INclass22, 0.0003437635399733238
eagle_INclass21, 0.013612810086248747
horse_INclass339, 0.05349078539190889
horse_INclass603, 0.00026629870239961475
bike_INclass444, 0.0010365577517664766
bike_INclass665, 1.7517568917396346e-05
bike_INclass671, 3.315845730164928e-07
bike_INclass612, 6.324239937896243e-07
bike_INclass870, 9.748470161672123e-06
ship_INclass403, 0.21393956164858297
ship_INclass628, 0.06402254150505471
ship_INclass510, 0.01850143097546591
ship_INclass554, 0.00976053226409748
ship_INclass625, 0.0012817933705023374
fly_INclass308, 6.744149458435857e-07
glasses_INclass836, 2.0668946276529315e-05
glasses_INclass837, 0.0001810809777034964
car_INclass817, 4.3389174396121385e-08
car_INclass468, 9.343500347136444e-09
car_INclass511, 1.0578945175383865e-07
car_INclass609, 2.203761878975785e-10
car_INclass751, 3.6206419188532235e-10
car_INclass627, 1.044421241538558e-08
car_INclass654, 4.716128886210319e-09
car_INclass656, 7.81833271636865e-07
car_INclass407, 6.451385890241211e-10
car_INclass436, 6.179753490379209e-07
